global_cluster2_ccf2_pdo,global_cluster3_ccf1_oni,global_cluster3_ccf3_oni,global_cluster4_ccf3_pdo,global_cluster6_ccf1_oni,global_cluster6_ccf1_pdo,global_cluster6_ccf3_pdo,global_cluster7_ccf1_nao,global_cluster11_ccf1_nao,global_cluster11_ccf1_npgo,global_cluster15_ccf1_oni,global_cluster15_ccf3_npgo,global_cluster20_ccf2_npo,global_cluster22_ccf3_pdo
0.037055444179106,-0.144361850153755,-0.0288174758722872,-0.156967707576505,0.0235866378877892,0.124130639270278,-0.0938493419225024,0.0183892507340696,-0.0255551645849621,0.0161756864631993,-0.0164046887562235,0.0503095243442684,0.124162225589974,0.0996727222393128
0.0422161248217195,0.0842639565114883,0.113199161209626,-0.173800743574565,0.144682887733308,0.154846285921929,-0.166669726000832,-0.0543736088050498,-0.0315991704580818,0.0137742106023439,0.0440352916288222,-0.020385477673201,-0.0379848140428504,0.137628209910117
0.0118710827462594,0.0395811731999147,0.0420540248746821,-0.044678695824912,-0.127590425301167,0.0790389957128964,-0.102879995595899,-0.0603788564538729,0.0455812770430759,0.180352833090006,0.0550824155745789,-0.122971926149653,-0.00596221028901796,0.0214633918147061
0.0123924134262112,-0.186356671065319,-0.134206216942349,0.145594533930529,0.00216831034012022,-0.0851746745743065,0.0397658373343821,-0.113143449654409,-0.112032342169184,0.272505026319545,-0.194788168605171,-0.204381726612023,-0.00626737892974132,-0.0932304202089864
-0.057786629172843,-0.324713915077078,0.130076801675724,0.366683601408094,-0.0247589614611918,-0.194520510419792,0.309123258493686,0.159227613987408,0.139631869099406,0.437167897738594,-0.087448108592546,-0.230322103652318,-0.0569802545947408,-0.401932432232495
-0.196249990328762,0.361990144354029,0.699046480307993,0.440820991218731,-0.413717295075969,-0.409008081122797,0.4164653886147,-0.506980929351053,-0.408094181440655,0.342960898144847,0.49039686979545,-0.403018022739638,-0.0454353615535877,-0.335254439921068
-0.405274302651791,0.619498412769647,-0.119544997886915,0.0329042694824772,-0.259305936104173,-0.175596137007557,0.0716184233750102,-0.00147186530912412,0.0592824097729522,0.0139294347641431,0.344864673978786,-0.465933096025223,-0.466697830231227,-0.210536786987662
-0.245212450825353,-0.231740211907651,-0.0876190439243476,-0.0516270957889193,0.0819238238397994,-0.0332617197429635,-0.1145586296108,-0.0454889868482619,-0.207558755745,-0.00449296583578134,-0.327185333539698,-0.24520861761176,-0.0186434827246406,0.0980846490928893
-0.0124073774496013,-0.11670799304462,-0.0494139288259106,-0.0408680678519628,0.0995694605301686,-0.0328568561155341,-0.19614390133056,-0.14898023005144,-0.106383542822274,-0.110900335718888,-0.137918599873563,-0.00406956368750721,-0.138478966445894,0.092060980775903
-0.0789921940584595,0.051695036670903,-0.0774805574605254,0.0211841151330854,0.0911880692019708,0.0367590429539095,-0.0352283660502612,0.00348591793401964,0.0485953504564351,-0.0287900117356565,0.218546057009121,0.146769706870096,-0.101953690336023,0.0130571336776522
0.080062337712361,0.00902280388511103,-0.0956320217623991,-0.0290835408440046,-0.0511491828457853,0.0790284372191457,0.0673100930390605,-0.108946799866186,-0.0673353510720921,-0.106992833716509,-0.00558418935501622,0.125164563549229,0.156129524963128,-0.0633465697891858
