X,Y,fid,DN
134.340690208668,69.6352327447833,186,"44"
112.677307206068,29.1570796460177,1968,"43"
140.732071713147,-30.0129482071713,3363,"46"
130.112068965517,47.0366379310345,1091,"45"
107.865053763441,40.8994623655914,1415,"40"
101.193497757848,51.2903587443946,866,"39"
-126.676122931442,63.7121749408983,478,"4"
117.424216027875,62.3675958188153,553,"42"
-151.218375136314,63.6409487459106,563,"3"
97.0786558345643,73.024741506647,127,"41"
-107.327409162717,72.3771721958926,93,"6"
-117.421751968504,47.5004921259843,832,"5"
39.4950331125828,46.3634105960265,1,"2"
128.990758293839,65.4338862559242,287,"1"
-70.0695121951219,57.1548780487805,634,"20"
-67.8469055374593,48.8257328990228,780,"19"
-54.6503831417625,-19.1168582375479,2995,"22"
-67.8518131101813,-41.9891910739191,3484,"21"
-17.6091004919185,0.401440618411806,159,"16"
-71.7454285714286,67.5162857142857,158,"15"
64.2891613924051,70.9208860759494,2,"18"
-83.7518832391714,52.8215630885122,846,"17"
-24.0672757475083,16.3690476190476,1706,"12"
14.0586347724621,-7.02654609101517,2260,"11"
-89.947889182058,34.0855321020229,1600,"14"
-89.5382716049383,45.4524691358025,1071,"13"
-34.3426573426573,12.9615384615385,1572,"8"
-108.47732012513,56.9356100104275,479,"7"
-105.38476070529,48.0484886649874,984,"10"
-101.357558139535,64.3866279069767,329,"9"
67.4508009153318,45.0669336384439,1207,"36"
78.3885331781141,24.1463911525029,1958,"35"
71.3191964285714,52.9300595238095,914,"38"
73.285,59.54,606,"37"
44.1512345679012,35.8775720164609,1608,"32"
26.919220945083,-23.3943167305236,3004,"31"
64.1692961165049,65.3046116504854,266,"34"
45.5400807381776,55.1410034602076,694,"33"
4.76591895803184,49.5119392185239,741,"28"
74.7044072948328,14.0357142857143,2278,"27"
25.0706377325066,63.5998671390611,75,"30"
27.0760711692084,49.291394335512,587,"29"
-46.1225868725869,-11.2686615186615,2908,"24"
-59.1708242950108,-27.9018438177874,3242,"23"
0.073325635103926,38.6368360277136,1520,"26"
5.83512544802867,11.5797491039427,2408,"25"
144.038381742739,-18.4875518672199,2773,"47"
