"","Feature","Gain","Cover","Frequency"
"1","rsds",0.258422947238777,0.20142877153663,0.151462994836489
"2","hurs",0.168682627765043,0.171172433113882,0.151462994836489
"3","tas",0.1321813202731,0.0931503011626278,0.158347676419966
"4","sfcwind",0.120223012092483,0.176868842508288,0.132530120481928
"5","tasmin",0.0980243979389051,0.111313442592333,0.0826161790017212
"6","ps",0.0801454234983321,0.0737264789653079,0.125645438898451
"7","pr",0.0705010777851923,0.0651818648736985,0.103270223752151
"8","tasmax",0.0384848575850249,0.0183499089508335,0.0258175559380379
"9","rlds",0.0333343358231432,0.0888079562964001,0.0688468158347676
