"","Feature","Gain","Cover","Frequency"
"1","pr",0.372845256733863,0.232267685711623,0.144312393887946
"2","tas",0.131617345949623,0.0385870071768105,0.183361629881155
"3","sfcwind",0.105524434239435,0.206915835585796,0.159592529711375
"4","ps",0.104177490117722,0.221921893932333,0.178268251273345
"5","rsds",0.0922881212391661,0.0864945474881163,0.0933786078098472
"6","hurs",0.0675189589547757,0.048606580296393,0.0831918505942275
"7","rlds",0.0537817676581154,0.0513095349053966,0.0713073005093379
"8","tasmin",0.0365864268919064,0.0745176624102899,0.0577249575551783
"9","tasmax",0.0356601982153944,0.0393792524932426,0.0288624787775891
