"","Feature","Gain","Cover","Frequency"
"1","tas",0.278651524586781,0.1026337988565,0.169877408056042
"2","ps",0.202705367795559,0.150388977411191,0.12784588441331
"3","tasmin",0.168548483222086,0.0666885368825569,0.0595446584938704
"4","rsds",0.142109451191807,0.170540819195801,0.161120840630473
"5","pr",0.0808351359594919,0.180335551598088,0.17338003502627
"6","hurs",0.0419718776950674,0.0852469772237323,0.117338003502627
"7","tasmax",0.0408529069079601,0.151841784609617,0.0945709281961471
"8","sfcwind",0.0242761930215001,0.0760614865498172,0.0823117338003503
"9","rlds",0.0200490596197478,0.0162620676726966,0.0140105078809107
