"","Feature","Gain","Cover","Frequency"
"1","sfcwind",0.373558425179268,0.229291044776119,0.168012924071082
"2","tas",0.175162821862974,0.0929570895522388,0.132471728594507
"3","rsds",0.0945207462987344,0.107882462686567,0.113085621970921
"4","ps",0.0871988197863734,0.120848880597015,0.137318255250404
"5","pr",0.0783108673721429,0.0877798507462687,0.103392568659128
"6","rlds",0.0564651163206721,0.105083955223881,0.0759289176090469
"7","tasmin",0.0534280428548194,0.0874067164179105,0.0920840064620355
"8","tasmax",0.0506430930980185,0.139738805970149,0.101777059773829
"9","hurs",0.0307120672269965,0.0290111940298507,0.0759289176090469
