"","Feature","Gain","Cover","Frequency"
"1","rsds",0.239138006919325,0.270455819166822,0.18
"2","tasmin",0.175893679158743,0.0359144405006538,0.0466666666666667
"3","sfcwind",0.127028418199227,0.124789837474313,0.0983333333333333
"4","pr",0.103079739490871,0.118438258920232,0.138333333333333
"5","hurs",0.0986844405792952,0.119045395105548,0.14
"6","ps",0.0826150212593893,0.0909770222305249,0.1
"7","rlds",0.0675243507820838,0.0701008780123295,0.0583333333333333
"8","tas",0.0642101557877913,0.0731365589389128,0.176666666666667
"9","tasmax",0.0418261878232751,0.0971417896506632,0.0616666666666667
