"","Feature","Gain","Cover","Frequency"
"1","sfcwind",0.179778923384706,0.12406402096593,0.119705340699816
"2","pr",0.158507255666975,0.118307749906402,0.10865561694291
"3","rsds",0.148189329215447,0.163141145638338,0.121546961325967
"4","ps",0.13221964043773,0.0860632721827031,0.106813996316759
"5","rlds",0.126437264157304,0.194870834893298,0.154696132596685
"6","tasmin",0.0995342912580754,0.127199550730064,0.106813996316759
"7","tas",0.0811723068130616,0.113066267315612,0.184162062615101
"8","hurs",0.0652927400511545,0.0410894795956571,0.0644567219152855
"9","tasmax",0.00886824901554599,0.0321976787719955,0.0331491712707182
