global_cluster2_ccf3_oni,global_cluster3_ccf1_oni,global_cluster3_ccf3_nao,global_cluster6_ccf1_oni,global_cluster6_ccf1_pdo,global_cluster9_ccf2_npo
-0.078043417783591,-0.116437946773085,-0.0776419091549898,-0.0431475256157055,0.0909538679915506,0.124162225589974
-0.136282351794125,0.0649641979422983,-0.0554606013860113,0.12426673792932,0.150649945569409,-0.0379848140428504
0.187243264750324,0.081709564962499,0.0541437526227536,-0.0504565961499362,0.069351709854365,-0.00596221028901796
-0.131789790976598,-0.272917878594308,0.298773825872231,0.0460278386494364,-0.0669927398760493,-0.00626737892974132
-0.13611489845005,-0.377101702966355,-0.070083222646507,-0.0859963426580188,-0.208063520140932,-0.0569802545947408
0.435954390494622,0.401470956851528,0.46255689793905,-0.45585244491431,-0.419447920373509,-0.0454353615535877
0.096228830980135,0.545110350009813,0.174798351272204,-0.151610583421794,-0.230427965577994,-0.466697830231227
-0.00761355350007885,-0.314219501628587,0.170535774425647,0.035041880511127,-0.0490298742429672,-0.0186434827246406
0.112153853616448,-0.139845081438582,-0.0957915837728085,0.0385428055118982,-0.0346991401711798,-0.138478966445894
0.135835534484055,0.138943900820653,0.0692774938960318,0.11215842493018,0.00675803951620475,-0.101953690336023
-0.117117117228934,0.026219057142374,-0.0543454139111235,-0.00328562000301666,0.0920473552442548,0.156129524963128
