X,Y,fid,DN
136.218335035751,-30.3669560776302,1741,"44"
113.939928057554,64.3053956834532,233,"43"
131.255307855626,51.0684713375796,362,"46"
143.629186602871,69.2488038277512,167,"45"
97.7397660818714,71.39522417154,148,"40"
113.641229578676,32.2285038693035,606,"39"
-153.326158940397,60.9586092715232,305,"4"
109.261844331641,53.4293570219966,407,"42"
144.254752851711,-18.8022813688213,1278,"3"
112.231525625745,42.9716924910608,563,"41"
-126.764180024661,57.1667694204686,288,"6"
-152.797920433996,67.4109403254973,304,"5"
-93.571035691823,17.6055662405596,2,"2"
106.285508637236,65.0273512476008,74,"1"
-55.3822701688555,-18.6167917448405,1562,"20"
-69.3987341772152,-45.3059071729958,1902,"19"
-46.1091549295775,-11.3498719590269,1408,"22"
-60.6049723756906,-30.9440607734807,1728,"21"
12.4973482422171,-1.57817469841702,1059,"16"
83.2123588456713,23.3368883312422,14,"15"
-70.817843866171,56.5260223048327,341,"18"
-74.2098509933775,46.8431291390729,568,"17"
-96.4452095808383,43.3368263473054,819,"12"
-101.239279588336,54.2135506003431,584,"11"
-60.7625464684015,68.9781598513011,23,"14"
-90.375,33.3386479591837,740,"13"
-114.314163498099,40.3483840304183,467,"8"
-119.576673866091,63.9935205183585,234,"7"
-87.6387530562347,77.270782396088,1,"10"
-106.185661764706,67.406862745098,318,"9"
73.2818532818533,41.4391891891892,593,"36"
77.23,67.5953846153846,153,"35"
86.6416478555305,33.3222347629797,771,"38"
83.5161290322581,53.4354838709677,438,"37"
48.8925959780622,44.930987202925,590,"32"
36.060612244898,53.1112244897959,410,"31"
62.8712723658052,53.2624254473161,392,"34"
65.3200455580866,63.4812072892938,218,"33"
31.3334394904459,-12.209872611465,1311,"28"
38.3505747126437,34.4147509578544,664,"27"
34.6146258503401,63.5751700680272,315,"30"
26.3784658040665,-26.2999075785582,1680,"29"
7.11471663619744,11.2984460694698,1098,"24"
-2.46910112359551,38.1783707865169,721,"23"
13.2615483319076,47.7179213002566,314,"26"
12.6248411689962,61.9145489199492,223,"25"
142.167953667954,61.7702702702703,346,"47"
-61.8673348384316,-4.28771944569382,1000,"16"
115.125786155978,-3.19299441147384,1001,"16"
