"","Feature","Gain","Cover","Frequency"
"1","ps",0.347792080934087,0.121443637215843,0.13003663003663
"2","hurs",0.151924638058906,0.120459339114132,0.153846153846154
"3","pr",0.13587223510689,0.151581907663464,0.13003663003663
"4","rsds",0.111814797221896,0.133208343098195,0.124542124542125
"5","sfcwind",0.0739474979127419,0.148207171314741,0.0970695970695971
"6","tas",0.0678873965942502,0.0685727677525193,0.135531135531136
"7","tasmin",0.0518121874819156,0.0733067729083665,0.0659340659340659
"8","rlds",0.0362406220446412,0.0599953128661823,0.0750915750915751
"9","tasmax",0.0227085446446716,0.123224748066557,0.0879120879120879
