"","Feature","Gain","Cover","Frequency"
"1","hurs",0.178673499589929,0.167304282914995,0.126689189189189
"2","rsds",0.14176309744386,0.128767378930671,0.0945945945945946
"3","pr",0.11813532692229,0.160072781562004,0.152027027027027
"4","tasmin",0.113470311551137,0.110805262666791,0.0945945945945946
"5","sfcwind",0.107815057668757,0.109918820565457,0.101351351351351
"6","rlds",0.105197778552314,0.0720817392927125,0.0675675675675676
"7","tasmax",0.089962631303932,0.0231408043295698,0.0405405405405405
"8","ps",0.0737744641275484,0.168330689558645,0.148648648648649
"9","tas",0.0712078328402323,0.0595782401791546,0.173986486486486
