"","Feature","Gain","Cover","Frequency"
"1","tasmax",0.308826574944746,0.0926391215335939,0.0727848101265823
"2","rsds",0.198472467557993,0.133351944909734,0.115506329113924
"3","sfcwind",0.117839729688067,0.228317513493393,0.169303797468354
"4","pr",0.113953196106047,0.089893914014517,0.117088607594937
"5","rlds",0.102659591194378,0.23608784664061,0.200949367088608
"6","tas",0.0645537036617685,0.0573701842546064,0.112341772151899
"7","hurs",0.0385339201215232,0.0659780383398474,0.104430379746835
"8","tasmin",0.0276702102876498,0.0192164526335381,0.0411392405063291
"9","ps",0.0274906064378276,0.0771449841801601,0.0664556962025316
