"","Feature","Gain","Cover","Frequency"
"1","tasmax",0.380539480006897,0.142332201497744,0.0957446808510638
"2","tas",0.31883111469621,0.121075398855761,0.211246200607903
"3","hurs",0.0964383213164385,0.133122470812596,0.164133738601824
"4","ps",0.0735899878814833,0.139634401600074,0.120060790273556
"5","sfcwind",0.0356035096547041,0.140285594678822,0.101823708206687
"6","rsds",0.033846635285485,0.116424019721848,0.100303951367781
"7","rlds",0.0296487563452065,0.0756779385087678,0.0623100303951368
"8","tasmin",0.0198043860754893,0.0517233359691148,0.047112462006079
"9","pr",0.0116978087380865,0.0797246383552723,0.0972644376899696
