index,region,cluster,pc,cor
npo,Europe,4,3,0.278116230386408
oni,Europe,5,1,0.301018750943126
nao,Europe,5,1,0.341259068649346
pdo,Europe,5,1,0.357935516232317
iod,Europe,5,1,0.235798312551869
npo,Europe,5,1,0.290121213903347
oni,Europe,5,2,0.289037831437486
nao,Europe,5,3,0.298047290921757
oni,Europe,6,1,0.276021552750568
nao,Europe,6,1,0.246942274808633
oni,Europe,6,2,0.302199447687684
nao,Europe,6,2,0.349786726432169
pdo,Europe,6,2,0.274387705199701
npgo,Europe,6,2,0.312824476185025
oni,Europe,6,3,0.233580571758072
iod,Europe,6,3,0.339755621895529
nao,Europe,7,1,0.32668894890442
iod,Europe,7,1,0.263901798953074
oni,Europe,7,2,0.320162684800569
nao,Europe,7,2,0.265751025123745
npgo,Europe,7,2,0.286065043583645
oni,Europe,7,3,0.325872904455958
nao,Europe,7,3,0.242742363335735
pdo,Europe,7,3,0.326549823786844
npgo,Europe,7,3,0.336736223662397
npo,Europe,7,3,0.347240610198461
oni,Oceania,1,1,cor04
nao,Oceania,1,1,0.256951024661212
iod,Oceania,1,1,cor04
npo,Oceania,1,1,0.258245382839719
oni,Oceania,1,2,cor04
nao,Oceania,1,2,0.302896914033155
pdo,Oceania,1,2,cor04
npgo,Oceania,1,2,0.390867732652953
npo,Oceania,1,2,0.286910135239089
iod,Oceania,1,3,0.261154239251433
npgo,Oceania,1,3,0.267559590581475
oni,Oceania,2,1,0.326107113571291
iod,Oceania,2,1,0.278633543986385
npo,Oceania,2,1,0.274850613884077
oni,Oceania,2,2,0.295858978281065
nao,Oceania,2,2,0.259108513921453
pdo,Oceania,2,2,0.274778236220864
npgo,Oceania,2,2,0.344338481840807
npo,Oceania,2,2,0.251627679076938
oni,Oceania,2,3,0.283969640715551
oni,Oceania,3,2,cor04
pdo,Oceania,3,2,0.30344805122941
iod,Oceania,3,2,0.299763422670205
npgo,Oceania,3,2,0.370555128097087
npo,Oceania,3,3,0.233653713491022
oni,Northern America ,1,1,0.285518402610407
pdo,Northern America ,1,1,0.261796666554625
npgo,Northern America ,1,1,0.248167838900115
nao,Northern America ,1,2,0.24908625744207
pdo,Northern America ,1,2,0.247510855747019
npo,Northern America ,1,2,0.269250976592076
oni,Northern America ,1,3,0.356284367848858
pdo,Northern America ,1,3,0.338819791372964
npgo,Northern America ,1,3,0.269088214299759
oni,Northern America ,2,1,0.298439444262158
nao,Northern America ,2,1,0.270222801519063
