,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72
global1,0.24133,0.1135,0.06762,0.05186,0.04286,0.03939,0.03037,0.02717,0.02302,0.02167,0.01972,0.01919,0.01632,0.01573,0.0156,0.01332,0.01188,0.01166,0.01088,0.00959,0.00952,0.00874,0.00828,0.00763,0.00742,0.00716,0.00688,0.0067,0.00644,0.00609,0.00603,0.00583,0.00523,0.00513,0.00487,0.00469,0.00442,0.00434,0.00421,0.00395,0.00391,0.00372,0.00362,0.00351,0.00336,0.00325,0.00316,0.00314,0.00296,0.00289,0.0028,0.00279,0.00266,0.00256,0.00242,0.00226,0.00223,0.00215,0.00208,0.00203,0.00195,0.00187,0.00179,0.00176,0.00164,0.00158,0.00143,0.00131,0.00121,0.00107,0.00068,0
global2,0.11717,0.07239,0.05664,0.04854,0.04493,0.03485,0.03366,0.02807,0.02693,0.02607,0.02268,0.02163,0.01998,0.01861,0.01846,0.01647,0.01595,0.01517,0.01467,0.01451,0.01435,0.01307,0.0125,0.0123,0.01133,0.0109,0.01058,0.01007,0.00978,0.00935,0.00912,0.00893,0.00846,0.0084,0.00817,0.00792,0.00772,0.00767,0.00707,0.00696,0.00678,0.00662,0.00642,0.00631,0.00611,0.00594,0.00577,0.00543,0.00537,0.00507,0.00499,0.0048,0.00465,0.00463,0.00442,0.00423,0.00422,0.00403,0.00394,0.00393,0.0038,0.00367,0.00363,0.00354,0.00333,0.00316,0.00309,0.00291,0.00279,0.00263,0.00177,0
global3,0.44999,0.09725,0.05904,0.05137,0.03209,0.02978,0.0273,0.02149,0.01797,0.01526,0.01325,0.01204,0.01021,0.00913,0.00839,0.00813,0.00741,0.00705,0.00638,0.00555,0.00507,0.00494,0.00459,0.00432,0.00416,0.00397,0.00387,0.00376,0.00367,0.0035,0.00337,0.00306,0.00298,0.00286,0.0028,0.00263,0.00257,0.00252,0.00238,0.00229,0.00228,0.00212,0.00202,0.00198,0.0019,0.00188,0.00181,0.00174,0.00169,0.00164,0.00163,0.00155,0.00148,0.00142,0.00141,0.00136,0.00123,0.0012,0.00116,0.00113,0.00111,0.00108,0.00098,0.00095,0.00088,0.00085,0.00081,7e-04,0.00064,0.00052,0.00046,0
global4,0.45674,0.11173,0.05943,0.04367,0.03677,0.02388,0.02271,0.01746,0.01627,0.01515,0.01278,0.01184,0.01101,0.01062,0.00889,0.00803,0.00776,0.0067,0.00646,0.0064,0.00538,0.00519,0.00475,0.00444,0.00426,0.00413,0.00393,0.00371,0.00351,0.00338,0.00323,0.00296,0.0029,0.00287,0.00269,0.00256,0.00251,0.00235,0.00223,0.00212,0.00201,0.00198,0.0019,0.00186,0.00177,0.00173,0.00167,0.00159,0.00149,0.00145,0.00133,0.0013,0.00128,0.00123,0.0012,0.00117,0.00107,0.00105,0.00101,0.00094,0.00091,0.00087,0.00079,0.00078,0.00076,0.00075,0.00067,0.00065,6e-04,0.00042,0.00035,0
global5,0.41899,0.11779,0.08687,0.05358,0.034,0.02935,0.026,0.01918,0.0164,0.01361,0.01149,0.01138,0.01087,0.00831,0.00783,0.00743,0.00664,0.00634,0.00584,0.0057,0.00539,0.00503,0.0049,0.00423,0.0042,0.00391,0.00373,0.0036,0.00341,0.00326,0.00311,0.00285,0.00278,0.00261,0.00257,0.00239,0.0022,0.00219,0.00209,0.00201,0.00194,0.00178,0.00177,0.00175,0.00165,0.00163,0.00156,0.00156,0.00149,0.00144,0.00141,0.00133,0.00127,0.00117,0.00114,0.00114,0.00111,0.00107,0.00102,0.00095,0.00088,0.00085,0.00083,0.00077,0.00076,0.00071,7e-04,0.00066,0.00061,0.00055,0.00043,0
global6,0.45839,0.09332,0.06495,0.05526,0.03931,0.02817,0.02216,0.01996,0.019,0.01571,0.0142,0.01349,0.01028,0.00843,0.0082,0.00775,0.00739,0.00636,0.00595,0.00547,0.00525,0.00478,0.00451,0.00415,0.00412,0.00382,0.00367,0.00356,0.00338,0.00301,0.00295,0.00284,0.00274,0.00267,0.00257,0.00228,0.00223,0.00219,0.00198,0.00194,0.00183,0.00172,0.00171,0.00155,0.00154,0.0015,0.00143,0.00137,0.00133,0.00123,0.00119,0.00114,0.0011,0.00106,0.00101,0.00095,0.00093,9e-04,0.00082,0.00077,0.00075,0.00073,0.00068,0.00066,0.00063,0.00061,6e-04,0.00058,0.00053,0.00049,0.00029,0
global7,0.49811,0.09012,0.06156,0.03872,0.03093,0.02592,0.02291,0.01791,0.01474,0.01313,0.012,0.01051,0.00996,0.00954,0.00807,0.00767,0.00737,0.00665,0.00589,0.0055,0.00536,0.00469,0.00463,0.0042,0.00411,0.00399,0.0037,0.00349,0.00327,0.00322,0.00313,0.00307,0.00286,0.0026,0.00258,0.0025,0.0023,0.00219,0.00208,0.00207,0.00201,0.00195,0.00193,0.00186,0.0017,0.00166,0.00161,0.00155,0.00144,0.00142,0.00134,0.00128,0.00125,0.00124,0.00119,0.00117,0.00113,0.00106,0.00102,0.00099,0.00097,9e-04,0.00086,0.00084,0.00078,0.00077,0.00074,7e-04,0.00066,0.00042,0.00031,0
global8,0.34622,0.19002,0.0795,0.05463,0.0462,0.03287,0.02796,0.01988,0.01696,0.01432,0.01327,0.01116,0.01048,0.00957,0.00836,0.00803,0.00681,0.00545,0.00535,0.00507,0.00459,0.00458,0.00437,0.00414,0.00376,0.00352,0.0034,0.00313,0.00284,0.00265,0.00263,0.00248,0.00236,0.00231,0.0022,0.00208,0.00195,0.00188,0.00182,0.00172,0.00168,0.00162,0.0016,0.00154,0.00149,0.00141,0.00137,0.00128,0.0012,0.00115,0.00113,0.00109,0.00104,0.001,0.00094,0.00092,0.00083,0.00081,0.00081,0.00073,0.00072,0.00071,0.00063,6e-04,0.00055,5e-04,0.00048,0.00045,4e-04,0.00039,0.00038,0
global9,0.4361,0.11213,0.07382,0.04629,0.0376,0.03277,0.02081,0.0205,0.01755,0.01657,0.014,0.01142,0.00989,0.00927,0.00849,0.00773,0.00701,0.00671,0.00652,0.00575,0.00544,0.00516,0.00484,0.00474,0.0042,0.00406,0.00366,0.0036,0.0033,0.00319,0.00305,0.00293,0.00282,0.00271,0.00253,0.00242,0.00236,0.00226,0.00208,0.00204,0.0019,0.0018,0.00174,0.00167,0.0016,0.00143,0.00142,0.00136,0.0013,0.00126,0.00123,0.00115,0.00109,0.00104,0.00103,0.001,0.00096,0.00093,0.00087,8e-04,0.00076,0.00075,0.00067,0.00066,0.00061,0.00054,0.00051,0.00049,0.00046,4e-04,0.00026,0
global10,0.40164,0.07862,0.05998,0.0448,0.0328,0.02832,0.02572,0.02121,0.02078,0.01975,0.01562,0.0149,0.01389,0.01256,0.01195,0.01077,0.0106,0.00937,0.00855,0.0082,0.00729,0.00671,0.00641,0.00626,0.0059,0.00559,0.00517,0.00488,0.00474,0.00463,0.00447,0.00422,0.00395,0.00372,0.00361,0.00347,0.00337,0.0032,0.00318,0.00304,0.00288,0.00276,0.00267,0.00254,0.00254,0.00248,0.00244,0.00237,0.00225,0.00221,0.0021,0.00206,0.00196,0.0019,0.00181,0.00177,0.00168,0.00163,0.00161,0.00151,0.00143,0.0014,0.00139,0.00129,0.00123,0.00121,0.00113,0.00109,0.00105,0.00101,0.00077,0
