pc.Variables,pc.Importance
sfcwind,13.9082604373115
tasmax,5.50673168161302
rsds,3.75648509086649
ps,3.74162704063199
tas,2.38881648216694
tasmin,0.903922811279581
PC1,0.379140405003116
hurs,-0.35619117700899
PC3,-0.436457262315497
pr,-0.694634128793032
rlds,-0.922719995039207
