pc.Variables,pc.Importance
pr,6.51448947434861
hurs,3.82656092366232
PC1,2.16353494883282
tas,1.94602263278257
tasmin,1.79265085772565
ps,1.73847116086823
rsds,1.40951129792127
sfcwind,0.489155084876511
rlds,0.467179821485881
tasmax,0.261995367184943
PC2,-4.96761447757087
