,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72
global1,0.81472,0.08319,0.04173,0.0158,0.00838,0.00607,0.00531,0.00311,0.00289,0.00234,0.00208,0.00177,0.00162,0.00147,0.00117,9e-04,0.00076,0.00058,0.00056,0.00051,0.00042,4e-04,0.00036,0.00035,3e-04,0.00028,0.00026,0.00021,2e-04,0.00019,0.00016,0.00015,0.00014,0.00013,0.00012,0.00012,1e-04,9e-05,9e-05,8e-05,8e-05,7e-05,7e-05,5e-05,5e-05,5e-05,5e-05,4e-05,4e-05,4e-05,3e-05,3e-05,3e-05,3e-05,3e-05,2e-05,2e-05,2e-05,2e-05,2e-05,2e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0
global2,0.30485,0.15944,0.11367,0.08832,0.07017,0.03835,0.03512,0.02665,0.02001,0.0163,0.01541,0.0139,0.01137,0.00958,0.0083,0.00769,0.00719,0.00644,0.00564,0.00481,0.00407,0.00367,0.00354,0.00341,0.00284,0.00249,0.002,0.00164,0.00152,0.00141,0.00121,0.00099,0.00091,8e-04,0.00067,0.00057,0.00056,0.00052,0.00049,4e-04,0.00035,0.00032,0.00029,0.00027,0.00022,2e-04,0.00017,0.00017,0.00013,0.00012,0.00011,1e-04,1e-04,8e-05,7e-05,6e-05,6e-05,5e-05,4e-05,3e-05,3e-05,2e-05,2e-05,2e-05,2e-05,1e-05,1e-05,1e-05,1e-05,0,0,0
global3,0.58696,0.18911,0.04687,0.03318,0.02186,0.01499,0.01281,0.01216,0.00807,0.00701,0.00624,0.00556,0.00548,0.00431,0.00417,0.00325,0.00294,0.00278,0.00249,0.00227,0.00224,0.00183,0.00171,0.00149,0.00138,0.00131,0.00121,0.00107,0.00105,0.00099,0.00094,0.00081,0.00075,0.00072,0.00069,0.00062,0.00059,0.00053,0.00051,0.00049,0.00046,0.00042,4e-04,0.00037,0.00036,0.00035,0.00033,3e-04,0.00027,0.00026,0.00026,0.00025,0.00024,0.00023,0.00021,0.00019,0.00018,0.00017,0.00016,0.00014,0.00013,0.00012,0.00011,0.00011,9e-05,9e-05,8e-05,7e-05,7e-05,6e-05,5e-05,0
global4,0.77784,0.06876,0.0656,0.02184,0.01362,0.00844,0.0065,0.00451,0.00345,0.00288,0.00241,0.0019,0.00178,0.00167,0.00158,0.00124,0.0012,0.00111,0.00103,0.00091,0.00075,7e-04,0.00065,0.00064,0.00059,0.00054,0.00053,0.00049,0.00044,0.00043,0.00036,0.00035,0.00035,0.00033,3e-04,0.00029,0.00026,0.00026,0.00024,0.00023,0.00021,2e-04,0.00019,0.00017,0.00016,0.00015,0.00015,0.00014,0.00013,0.00012,0.00011,1e-04,1e-04,9e-05,9e-05,9e-05,8e-05,7e-05,7e-05,7e-05,6e-05,6e-05,6e-05,5e-05,5e-05,5e-05,4e-05,4e-05,4e-05,3e-05,2e-05,0
global5,0.86652,0.05405,0.04096,0.00732,0.00651,0.00476,0.00401,0.00232,0.00191,0.00134,0.00113,0.00107,0.001,0.00091,0.00068,0.00057,0.00049,0.00043,0.00041,0.00038,3e-04,0.00028,0.00023,0.00022,0.00019,0.00017,0.00016,0.00014,0.00012,0.00012,0.00011,1e-04,9e-05,8e-05,8e-05,7e-05,6e-05,6e-05,5e-05,5e-05,5e-05,4e-05,4e-05,4e-05,3e-05,3e-05,3e-05,3e-05,2e-05,2e-05,2e-05,2e-05,2e-05,2e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0,0,0,0
global6,0.75609,0.12001,0.05026,0.02342,0.01076,0.00882,0.00579,0.00465,0.00322,0.00207,0.00199,0.00177,0.00112,0.00104,0.00079,7e-04,0.00064,0.00061,6e-04,0.00048,0.00046,4e-04,0.00038,0.00034,3e-04,0.00028,0.00025,0.00022,0.00021,0.00017,0.00017,0.00016,0.00014,0.00013,0.00012,0.00012,1e-04,9e-05,8e-05,8e-05,8e-05,7e-05,6e-05,6e-05,5e-05,5e-05,5e-05,4e-05,4e-05,4e-05,4e-05,4e-05,3e-05,3e-05,3e-05,2e-05,2e-05,2e-05,2e-05,2e-05,2e-05,2e-05,2e-05,2e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0
global7,0.79997,0.07926,0.05762,0.01685,0.00948,0.0058,0.00463,0.00367,0.00289,0.00222,0.00166,0.00141,0.00118,0.00116,0.001,0.00085,0.00081,0.00073,0.00067,6e-04,0.00053,0.00053,0.00044,0.00042,0.00039,0.00035,0.00033,0.00031,3e-04,0.00027,0.00026,0.00023,0.00022,2e-04,0.00019,0.00018,0.00016,0.00016,0.00014,0.00014,0.00012,0.00012,0.00011,1e-04,9e-05,9e-05,9e-05,8e-05,8e-05,8e-05,7e-05,7e-05,6e-05,6e-05,5e-05,5e-05,5e-05,5e-05,4e-05,4e-05,4e-05,4e-05,3e-05,3e-05,3e-05,3e-05,2e-05,2e-05,2e-05,2e-05,1e-05,0
global8,0.74086,0.10821,0.06101,0.02892,0.01339,0.00878,0.00744,0.00444,0.00402,0.00287,0.00223,0.00179,0.00149,0.00129,0.00117,0.00095,0.00094,0.00081,0.00076,0.00068,0.00065,0.00056,0.00055,0.00048,0.00047,0.00039,0.00037,0.00033,0.00028,0.00027,0.00024,0.00024,0.00022,0.00019,0.00017,0.00017,0.00016,0.00015,0.00013,0.00013,0.00013,0.00012,0.00011,0.00011,1e-04,9e-05,9e-05,9e-05,8e-05,7e-05,7e-05,7e-05,6e-05,6e-05,6e-05,5e-05,5e-05,5e-05,4e-05,4e-05,4e-05,3e-05,3e-05,3e-05,3e-05,2e-05,2e-05,2e-05,2e-05,2e-05,1e-05,0
global9,0.69655,0.12882,0.06864,0.02058,0.01262,0.01045,0.00906,0.00779,0.00462,0.0044,0.00408,0.00344,0.00252,0.00215,0.00191,0.0018,0.00148,0.00129,0.00117,0.00109,0.00104,0.00101,0.00096,0.00082,0.00078,0.00075,7e-04,0.00061,0.00056,0.00052,5e-04,0.00045,0.00041,4e-04,0.00038,0.00036,0.00033,0.00032,0.00029,0.00028,0.00027,0.00024,0.00023,0.00022,0.00022,2e-04,0.00018,0.00018,0.00017,0.00016,0.00016,0.00015,0.00014,0.00013,0.00013,0.00012,0.00011,0.00011,1e-04,1e-04,9e-05,9e-05,8e-05,8e-05,7e-05,7e-05,6e-05,5e-05,5e-05,5e-05,4e-05,0
global10,0.78067,0.09633,0.06347,0.01206,0.01031,0.00581,0.00462,0.00404,0.00311,0.00221,0.00189,0.00175,0.00168,0.00133,0.00096,0.00088,0.00075,0.00069,0.00061,0.00054,0.00047,4e-04,0.00039,0.00036,0.00031,0.00029,0.00026,0.00025,0.00024,0.00023,2e-04,0.00018,0.00017,0.00016,0.00015,0.00015,0.00014,0.00013,0.00013,0.00012,1e-04,1e-04,1e-04,9e-05,8e-05,8e-05,8e-05,8e-05,7e-05,7e-05,6e-05,6e-05,5e-05,5e-05,5e-05,5e-05,4e-05,4e-05,4e-05,3e-05,3e-05,3e-05,3e-05,3e-05,3e-05,2e-05,2e-05,2e-05,2e-05,2e-05,1e-05,0
global11,0.80701,0.12098,0.03464,0.01159,0.00504,0.00405,0.0026,0.00183,0.00149,0.00134,0.00115,0.001,0.00085,0.00075,0.00065,0.00047,0.00042,4e-04,0.00037,0.00032,0.00028,0.00025,0.00022,2e-04,0.00017,0.00016,0.00015,0.00014,0.00013,0.00011,0.00011,9e-05,8e-05,8e-05,7e-05,7e-05,6e-05,6e-05,5e-05,5e-05,4e-05,4e-05,4e-05,3e-05,3e-05,3e-05,3e-05,3e-05,2e-05,2e-05,2e-05,2e-05,2e-05,2e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0,0,0,0
global12,0.87018,0.04799,0.04062,0.01016,0.00783,0.00503,0.00356,0.0025,0.00165,0.00128,0.00111,0.00088,0.00076,7e-04,5e-04,0.00045,0.00044,0.00039,0.00036,0.00029,0.00027,0.00025,0.00024,0.00021,0.00019,0.00017,0.00016,0.00014,0.00013,0.00012,0.00011,1e-04,9e-05,8e-05,7e-05,7e-05,6e-05,6e-05,6e-05,5e-05,5e-05,5e-05,4e-05,4e-05,4e-05,3e-05,3e-05,3e-05,3e-05,3e-05,3e-05,2e-05,2e-05,2e-05,2e-05,2e-05,2e-05,2e-05,2e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0,0
global13,0.72428,0.10639,0.04108,0.03534,0.01433,0.00993,0.00855,0.00788,0.0066,0.00505,0.00401,0.00299,0.00272,0.00258,0.0024,0.0021,0.00186,0.00173,0.00151,0.00129,0.00116,0.00115,0.00111,0.00102,0.00093,0.00087,0.00081,0.00076,7e-04,0.00063,0.00058,0.00054,0.00052,0.00046,0.00045,0.00041,4e-04,0.00036,0.00033,0.00031,0.00028,0.00026,0.00024,0.00022,0.00022,0.00021,2e-04,0.00018,0.00017,0.00016,0.00016,0.00015,0.00014,0.00012,0.00011,0.00011,1e-04,1e-04,9e-05,9e-05,7e-05,7e-05,7e-05,6e-05,5e-05,5e-05,5e-05,4e-05,4e-05,3e-05,2e-05,0
global14,0.83187,0.08447,0.03905,0.01167,0.00673,0.00557,0.00365,0.00269,0.00217,0.00179,0.00139,9e-04,0.00087,0.00072,0.00063,0.00058,0.00051,0.00045,0.00033,0.00033,3e-04,0.00024,0.00023,0.00022,2e-04,0.00018,0.00016,0.00015,0.00014,0.00013,0.00011,1e-04,1e-04,9e-05,8e-05,8e-05,7e-05,7e-05,7e-05,7e-05,6e-05,6e-05,5e-05,5e-05,5e-05,5e-05,4e-05,4e-05,4e-05,3e-05,3e-05,3e-05,3e-05,3e-05,2e-05,2e-05,2e-05,2e-05,2e-05,2e-05,2e-05,2e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0,0
global15,0.68206,0.10204,0.07458,0.02737,0.01943,0.01484,0.01271,0.00955,0.00591,0.00528,0.00476,0.00402,0.00385,0.00311,0.00288,0.00242,0.00211,0.00183,0.00159,0.00152,0.00145,0.00125,0.00119,0.00104,0.00092,0.00086,8e-04,0.00073,0.00066,0.00064,0.00059,0.00059,0.00052,0.00049,0.00047,0.00042,0.00038,0.00036,0.00033,0.00032,0.00027,0.00026,0.00025,0.00025,0.00023,0.00022,0.00021,0.00019,0.00018,0.00016,0.00016,0.00015,0.00014,0.00013,0.00013,0.00012,0.00011,1e-04,1e-04,9e-05,9e-05,8e-05,8e-05,7e-05,7e-05,6e-05,6e-05,5e-05,5e-05,4e-05,3e-05,0
global16,0.87874,0.05884,0.02813,0.01089,0.00498,0.00324,0.00247,0.00214,0.00182,0.00137,0.00125,0.00096,0.00056,0.00054,0.00045,0.00033,0.00032,0.00027,0.00024,0.00022,2e-04,0.00018,0.00016,0.00015,0.00014,0.00013,0.00011,1e-04,8e-05,8e-05,7e-05,6e-05,6e-05,5e-05,5e-05,5e-05,4e-05,4e-05,4e-05,3e-05,3e-05,3e-05,3e-05,3e-05,2e-05,2e-05,2e-05,2e-05,2e-05,2e-05,2e-05,2e-05,2e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0,0,0,0,0,0
