pc.Variables,pc.Importance
tasmax,9.50220662700304
tas,7.62426925439511
rsds,7.46284253292768
sfcwind,7.41150190826037
rlds,7.2643963757577
tasmin,6.85222205402413
pr,4.01699249131905
hurs,1.59651205438217
ps,-0.844582939030966
PC2,-1.67622870820309
PC3,-2.18286000876045
