global_cluster2_ccf3_oni,global_cluster3_ccf1_oni,global_cluster3_ccf3_nao,global_cluster4_ccf1_oni,global_cluster4_ccf1_pdo
-0.078043417783591,-0.116437946773085,-0.0776419091549898,0.0292713213993476,0.0786327894913251
-0.136282351794125,0.0649641979422983,-0.0554606013860113,-0.0261196185524777,0.0705909346691429
0.187243264750324,0.081709564962499,0.0541437526227536,-0.0695915083184151,0.0156509211244844
-0.131789790976598,-0.272917878594308,0.298773825872231,0.11093212837261,-0.00687286606067224
-0.13611489845005,-0.377101702966355,-0.070083222646507,-0.00688697990245969,-0.137499292953362
0.435954390494622,0.401470956851528,0.46255689793905,-0.50929557577898,-0.431656942929122
0.096228830980135,0.545110350009813,0.174798351272204,-0.249658608911916,-0.228775803529692
-0.00761355350007885,-0.314219501628587,0.170535774425647,0.0864041234556263,-0.0182843845343323
0.112153853616448,-0.139845081438582,-0.0957915837728085,0.13069631348617,0.0654624172581043
0.135835534484055,0.138943900820653,0.0692774938960318,0.0627274722742586,0.099125730670149
-0.117117117228934,0.026219057142374,-0.0543454139111235,0.155970112208697,0.224186967348195
