"","cluster","pc_variance_sum","slope_mean","intercept_mean","direction","index","climate_zone","cluster_reorder"
"64",11,0.447,24.5081515420693,-8.52952491609574,"positive","pdo","tropical-dry-temperate-polar",10
"65",12,0.24215,-9.52030444067308,0.0433357601966816,"negative","enso","tropical-dry-temperate-continental",9
"66",12,0.24215,15.368122098677,-9.53772252234506,"positive","pdo","tropical-dry-temperate-continental",9
"67",12,0.24215,-5.0252683218287,-4.09265124549275,"negative","pdo","tropical-dry-temperate-continental",9
"68",12,0.24215,-44.3633248880947,6.22421510569476,"positive","iod","tropical-dry-temperate-continental",9
"69",12,0.24215,-1.46616112405738,-3.91782787460224,"positive","enso","tropical-dry-temperate-continental",9
"70",12,0.24215,-2.11498052432423,1.74125528321597,"negative","iod","tropical-dry-temperate-continental",9
"71",13,0.10042,-1.52765721969441,-1.85581239224426,"positive","enso","continental",30
"72",13,0.10042,1.80675696402455,3.70722205184051,"negative","enso","continental",30
"73",13,0.61721,-16.9180666258669,4.58711557891041,"positive","nao","continental",30
"74",13,0.61721,-11.3470410977708,-2.50652321143472,"negative","nao","continental",30
"75",14,0.47057,11.4410136439043,-4.27833233043374,"positive","nao","dry-temperate-continental",15
"76",14,0.47057,-4.73878109361746,11.7608925739693,"positive","pdo","dry-temperate-continental",15
"77",14,0.47057,-3.06340333406913,-0.897437528294915,"positive","iod","dry-temperate-continental",15
"78",14,0.47057,-35.389332707202,-9.16390570013787,"negative","nao","dry-temperate-continental",15
"79",14,0.47057,9.28813246403394,3.73797372119184,"negative","pdo","dry-temperate-continental",15
"80",14,0.47057,-17.9738943871746,-2.46536495809862,"negative","iod","dry-temperate-continental",15
"81",15,0.38316,-7.84229819415305,3.30454252348419,"positive","enso","continental-polar",43
"82",15,0.38316,-5.38121326833797,5.06341254093627,"negative","nao","continental-polar",43
"83",15,0.38316,3.58931964546201,2.54973879289172,"negative","enso","continental-polar",43
"84",15,0.38316,-31.0838638779844,2.0331748647935,"positive","nao","continental-polar",43
"85",16,0.4568,29.5596294386254,8.70814882261981,"negative","enso","tropical",1
"86",16,0.4568,-31.4716271754103,4.2100407005749,"positive","nao","tropical",1
"87",16,0.4568,-11.2550719092046,1.70761165431105,"negative","nao","tropical",1
"88",16,0.4568,19.2587157227768,-3.99841115764147,"positive","pdo","tropical",1
"89",16,0.4568,6.34752641297848,2.88989050593098,"positive","enso","tropical",1
"90",16,0.4568,8.57428697467371,3.8521352398019,"negative","pdo","tropical",1
"91",17,0.67511,-8.49717323003097,-0.144349067471041,"positive","nao","continental",31
"92",17,0.67511,-9.84006168241848,-0.327232220261508,"negative","nao","continental",31
"93",18,0.27105,7.91134621189491,-2.05537959287463,"positive","iod","continental-polar",44
"94",18,0.27105,-0.881708644747916,3.19191958463915,"positive","enso","continental-polar",44
"95",18,0.27105,5.98949605288367,0.170703381671805,"negative","enso","continental-polar",44
"96",18,0.27105,2.8821303685649,0.908605399500058,"negative","iod","continental-polar",44
"97",19,0.10869,-5.55800629055769,-1.89929782960374,"negative","iod","continental",32
"98",19,0.47769,11.7483727175936,1.6007662528025,"negative","nao","continental",32
"99",19,0.47769,14.3636100240193,-2.58339237498218,"positive","nao","continental",32
"100",19,0.10869,2.71004086044975,-0.793470819518334,"positive","enso","continental",32
"101",19,0.10869,2.67068131732681,0.756870346834207,"negative","enso","continental",32
"102",19,0.10869,1.54608766171917,1.05587776721762,"negative","pdo","continental",32
"103",19,0.10869,2.47111008598861,-0.897334632742293,"positive","pdo","continental",32
"104",19,0.10869,3.42589740715183,0.330094030175141,"positive","iod","continental",32
"105",20,0.13266,1.15126846824506,-0.975110634773789,"negative","iod","continental-polar",45
"106",20,0.70341,-14.6428726899877,2.66883357635723,"positive","nao","continental-polar",45
"107",20,0.13266,-6.07094323174675,2.84017532776417,"positive","iod","continental-polar",45
"108",20,0.70341,-11.6116220013254,-1.56116299385929,"negative","nao","continental-polar",45
"109",21,0.48432,-5.26385841447747,8.24808575166388,"positive","pdo","dry-temperate-polar",19
"110",21,0.14837,-2.67990853615613,-0.57652154551266,"positive","enso","dry-temperate-polar",19
"111",21,0.14837,-2.37634526557135,0.82625722185435,"negative","enso","dry-temperate-polar",19
"112",21,0.48432,0.66529207285444,-1.83909607426571,"negative","pdo","dry-temperate-polar",19
"113",22,0.70947,0.482877315478241,0.728618397451885,"negative","pdo","tropical-temperate",11
"114",22,0.70947,-0.706057377489045,-0.877786063809621,"negative","enso","tropical-temperate",11
"115",22,0.70947,-1.65707637432843,1.32755612784094,"positive","enso","tropical-temperate",11
"116",22,0.70947,0.0969637138320381,-0.730212892834541,"positive","pdo","tropical-temperate",11
"117",23,0.66356,-12.2017766097424,-8.80408377964137,"negative","pdo","tropical-dry-temperate",4
"118",23,0.66356,-25.2976660186043,-7.30235106537604,"negative","enso","tropical-dry-temperate",4
"119",23,0.66356,-38.7928775486025,3.66747240418926,"positive","iod","tropical-dry-temperate",4
"120",23,0.66356,-15.6531565568193,2.56482465556422,"positive","enso","tropical-dry-temperate",4
"121",23,0.66356,2.44446691711513,3.72929228643106,"negative","iod","tropical-dry-temperate",4
