index,region,cluster,pc,cor
npo,Americas,19,2,0.251371269673811
oni,Antarctica,19,3,cor04
pdo,Asia,19,3,0.32511210690202
iod,Europe,19,3,0.274436259742956
npgo,Oceania,19,3,0.393922768031862
nao,Africa,20,1,0.37669229920817
npgo,Americas,20,1,cor04
nao,Antarctica,20,2,cor04
oni,Asia,20,3,0.23578343836182
nao,Europe,21,1,0.282765577377338
iod,Oceania,21,2,0.331824016674122
npo,Africa,21,2,0.243448203720958
oni,Americas,21,3,0.240180268952672
iod,Antarctica,21,3,cor04
npgo,Asia,21,3,cor04
npo,Europe,21,3,0.316566332855929
oni,Oceania,22,1,0.249506354802329
nao,Africa,22,1,0.238909620905134
npgo,Americas,22,1,0.245620046834433
nao,Antarctica,22,2,0.237577351258378
pdo,Asia,22,2,0.237229472264959
iod,Europe,22,2,0.248236462658168
npgo,Oceania,22,2,0.329435691308686
oni,Africa,22,3,0.322134742508617
pdo,Americas,22,3,0.351762847830096
npo,Antarctica,22,3,0.286871932114282
oni,Asia,23,1,cor04
nao,Europe,23,1,0.237030431301171
pdo,Oceania,23,1,0.344458069703343
iod,Africa,23,1,0.235190063563224
npo,Americas,23,1,0.35903240898327
pdo,Antarctica,23,2,0.263425799776751
npgo,Asia,23,2,0.235180212618689
pdo,Europe,23,3,0.279025648122682
iod,Oceania,23,3,0.236977673846351
npo,Africa,23,3,0.271484167128368
nao,Americas,24,1,cor04
npgo,Antarctica,24,1,0.248162514994035
oni,Asia,24,3,0.29778422973081
nao,Europe,24,3,0.258723705287162
pdo,Oceania,24,3,0.348603159720601
iod,Africa,24,3,0.232227804281428
nao,Americas,25,1,cor04
npgo,Antarctica,25,1,0.274445911965634
npo,Asia,25,1,0.266583702755325
nao,Europe,25,2,0.235918005992961
iod,Oceania,25,2,0.235773091468137
nao,Africa,25,3,0.261738648164213
pdo,Americas,26,1,0.27650308329626
oni,Antarctica,26,2,0.394026929611856
pdo,Asia,26,2,0.236471388141378
npgo,Europe,26,2,0.344084830675229
npo,Oceania,26,2,0.232587485252028
pdo,Africa,26,3,0.260059668848011
npgo,Americas,26,3,0.351311767210808
oni,Antarctica,27,1,0.302958833382467
nao,Asia,27,1,0.242544188505326
oni,Europe,27,2,0.341893125939857
iod,Oceania,27,2,0.242693251939529
oni,Africa,27,3,0.296734546177932
nao,Americas,27,3,0.251749153015974
iod,Antarctica,27,3,0.316464329548705
npgo,Asia,27,3,0.27141208757038
npo,Europe,27,3,0.253012686998966
oni,Oceania,28,1,0.310767239789051
pdo,Africa,28,1,0.263973390692473
npgo,Americas,28,1,0.274985046370829
oni,Antarctica,28,2,0.319741611662458
pdo,Asia,28,2,0.328917893510724
