cluster_save,index_save,var_save,cor_save,cluster_reorder
31,nao,pr,0.280129785940015,20
31,enso,pr,NA,20
32,nao,tasmax,NA,21
32,pdo,tasmax,0.260347444950378,21
32,nao,ps,0.349320599542963,21
32,pdo,ps,0.264001493088431,21
33,nao,tasmax,0.261513946901168,33
33,enso,tasmax,0.288267757053441,33
33,nao,rsds,0.393682255261079,33
33,enso,rsds,0.274863327927756,33
33,nao,rsds,0.393682255261079,33
33,enso,rsds,0.274863327927756,33
34,iod,tasmax,0.440840846465822,22
34,enso,tasmax,0.265578739294985,22
34,pdo,tasmax,NA,22
35,enso,tasmax,0.268176084173296,44
35,nao,tasmax,0.299062532480607,44
35,pdo,tasmax,NA,44
36,nao,tasmax,0.257443271323867,26
36,nao,rsds,0.243414699287911,26
37,iod,tasmax,0.46800681221728,23
37,pdo,tasmax,NA,23
37,iod,hurs,0.432593702918897,23
37,pdo,hurs,0.292367266791983,23
38,enso,rsds,NA,27
38,nao,rsds,0.317878468319553,27
38,enso,sfcwind,0.281652887886057,27
38,nao,sfcwind,0.258770866205938,27
39,nao,tas,NA,17
40,enso,rsds,0.244069251168564,45
40,nao,rsds,NA,45
40,iod,rsds,0.314038467154005,45
40,pdo,rsds,0.281409566465254,45
40,enso,pr,NA,45
40,nao,pr,NA,45
40,iod,pr,0.338366012574993,45
40,pdo,pr,0.296857822729144,45
41,nao,rlds,0.247507591620436,24
41,nao,sfcwind,0.351564994415119,24
42,enso,rsds,0.287967437031008,25
42,pdo,rsds,0.308312518357861,25
43,nao,hurs,NA,34
43,enso,hurs,0.331037011096508,34
43,pdo,hurs,0.343263168791631,34
43,nao,rsds,NA,34
43,enso,rsds,0.283703969551781,34
43,pdo,rsds,NA,34
43,nao,pr,0.27658746535827,34
43,enso,pr,0.272371408193807,34
43,pdo,pr,NA,34
44,iod,tasmin,0.448815412754565,13
44,enso,tasmin,0.23745439189717,13
44,nao,tasmin,0.263452047716115,13
44,pdo,tasmin,NA,13
44,iod,rlds,0.415628696794464,13
44,enso,rlds,0.235186394501052,13
44,nao,rlds,NA,13
44,pdo,rlds,0.302705240036444,13
44,iod,ps,0.597915870836257,13
44,enso,ps,0.456391430699122,13
44,nao,ps,0.260606184034109,13
44,pdo,ps,0.287029567304744,13
45,enso,tasmax,0.259699983502192,46
45,pdo,tasmax,NA,46
46,nao,tasmax,0.254508041113244,35
46,enso,tasmax,0.238956283357312,35
46,pdo,tasmax,0.238810335135545,35
