global_cluster2_ccf3_oni,global_cluster3_ccf1_oni,global_cluster3_ccf3_oni,global_cluster6_ccf1_oni,global_cluster6_ccf1_pdo,global_cluster7_ccf1_nao,global_cluster10_ccf2_npo
-0.078043417783591,-0.137520364694302,-0.0907452934710688,-0.0431475256157055,0.0909538679915506,-0.0201120428977029,0.124162225589974
-0.136282351794126,0.0966115943424147,-0.0113432735253319,0.12426673792932,0.150649945569409,-0.0487963974494538,-0.0379848140428508
0.187243264750325,0.0557499678615472,-0.0238401188113863,-0.0504565961499362,0.0693517098543649,-0.0414303590371947,-0.00596221028901832
-0.131789790976598,-0.259633746142654,0.0317151182418668,0.0460278386494365,-0.0669927398760493,-0.080598332587406,-0.00626737892974133
-0.13611489845005,-0.324618143376357,-0.23767729420302,-0.0859963426580187,-0.208063520140932,0.121126904451678,-0.0569802545947406
0.435954390494622,0.447579375229364,-0.549594956773013,-0.45585244491431,-0.419447920373509,-0.513681553936589,-0.0454353615535879
0.0962288309801348,0.583333523602665,0.137539676973472,-0.151610583421794,-0.230427965577994,-0.0677256137541067,-0.466697830231227
-0.007613553500079,-0.304594544428529,0.130568254484955,0.035041880511127,-0.0490298742429672,-0.0326606233273661,-0.0186434827246405
0.112153853616448,-0.12136847902421,0.117480792518491,0.0385428055118981,-0.0346991401711797,-0.102084898321877,-0.138478966445894
0.135835534484055,0.153805313698979,-0.0122481957134446,0.11215842493018,0.00675803951620477,0.0449317725797418,-0.101953690336023
-0.117117117228934,0.0097105598611296,0.0610520564652097,-0.00328562000301664,0.0920473552442548,-0.0122636416969496,0.156129524963128
