index,region,cluster,pc,cor
pdo,Americas,18,2,0.267333138490106
pdo,Antarctica,18,3,0.336459722446516
iod,Asia,18,3,0.246095981287552
npgo,Europe,18,3,0.23207123171556
npo,Oceania,18,3,0.235546146225199
oni,Africa,19,1,cor04
nao,Americas,19,1,0.283741988084116
pdo,Antarctica,19,1,0.38328838098896
iod,Asia,19,1,0.249127613843197
npgo,Europe,19,1,0.249461872758896
npo,Oceania,19,1,0.380978142650987
pdo,Africa,19,2,0.29571514667612
npgo,Americas,19,2,0.300355071457073
npo,Antarctica,19,2,0.261056730344043
oni,Asia,19,3,cor04
nao,Europe,19,3,0.26013448291639
pdo,Oceania,19,3,0.346573240158697
iod,Africa,19,3,0.294133835610221
npgo,Americas,19,3,0.388562438982516
oni,Antarctica,20,1,0.361810254716662
nao,Asia,20,1,0.232386521509452
iod,Europe,20,1,0.320494501238089
npgo,Oceania,20,1,0.360146489800536
nao,Africa,20,2,0.313540731582523
npgo,Americas,20,2,0.348865894335862
npo,Antarctica,20,2,0.237972251342113
oni,Asia,20,3,0.289684157404805
iod,Europe,20,3,0.300921626876838
npo,Oceania,20,3,0.29485607922969
oni,Africa,21,1,0.30915422185817
nao,Americas,21,1,0.327280241819354
pdo,Antarctica,21,1,0.291966829074662
npgo,Asia,21,1,cor04
oni,Europe,21,2,0.238193816383969
nao,Oceania,21,2,0.251442796271406
pdo,Africa,21,2,0.234416855070762
oni,Americas,22,1,0.335025772928609
nao,Antarctica,22,1,cor04
pdo,Asia,22,1,0.241301528347135
iod,Europe,22,1,0.237451272566641
npgo,Oceania,22,1,0.356921534376754
npo,Africa,22,1,0.246622048571017
nao,Americas,22,2,0.326475256504251
nao,Antarctica,22,3,0.268994515113483
oni,Asia,23,2,0.322355781153496
nao,Europe,23,2,0.241468820971282
pdo,Oceania,23,2,0.236035647797245
npgo,Africa,23,2,0.363027499761871
oni,Americas,23,3,0.26024379537116
nao,Antarctica,23,3,0.251486645097107
pdo,Asia,23,3,0.247614717673097
iod,Europe,23,3,0.277321631776567
npgo,Oceania,23,3,0.266673550075612
oni,Africa,24,1,0.320421936776582
nao,Americas,24,2,0.379443981848433
iod,Antarctica,24,2,0.258470719822457
npo,Asia,24,2,0.233490776760392
oni,Europe,24,3,0.366623151080214
pdo,Oceania,24,3,0.350285018185803
