index,region,cluster,pc,cor
nao,Africa,1,2,0.337805812095488
npo,Americas,1,2,0.244963548495223
pdo,Antarctica,1,3,0.244802169283367
oni,Asia,2,1,0.240035223349153
nao,Europe,2,1,0.269280579537868
oni,Oceania,2,2,0.269735703308191
pdo,Africa,2,2,0.281080123978918
iod,Americas,2,2,0.250451799236372
npgo,Antarctica,2,2,0.267069463904969
npo,Asia,2,2,0.231266932255448
oni,Europe,2,3,0.338179654133193
nao,Oceania,2,3,0.316995740941032
pdo,Africa,2,3,0.298816111253335
npgo,Americas,2,3,0.257014291547779
oni,Antarctica,3,1,cor04
pdo,Asia,3,1,0.291264748017165
iod,Europe,3,1,0.30816031922114
npgo,Oceania,3,1,0.322658728456379
npo,Africa,3,1,0.338709028955415
oni,Americas,3,2,0.356413034441455
iod,Antarctica,3,2,0.290582024271842
npo,Asia,3,2,0.324689775998924
oni,Europe,3,3,cor04
pdo,Oceania,3,3,0.358258295120823
npgo,Africa,3,3,cor04
oni,Americas,4,1,0.352430173482129
pdo,Antarctica,4,1,cor04
iod,Asia,4,1,0.231325665105475
npgo,Europe,4,1,0.311140817400618
oni,Oceania,4,2,0.307849414200549
nao,Africa,4,2,0.310500741373818
pdo,Americas,4,2,0.294911608801286
npo,Antarctica,4,2,0.27834006259006
nao,Asia,5,1,0.234229392448074
npo,Europe,5,1,0.244204987091215
nao,Oceania,5,2,0.325979968181971
npgo,Africa,5,2,0.273131324517992
oni,Americas,5,3,0.270535620180034
npo,Antarctica,5,3,0.3273096065539
oni,Asia,6,1,0.271460384409419
nao,Europe,6,1,0.231784838526668
pdo,Oceania,6,1,0.265333449734757
npgo,Africa,6,1,0.251814941233685
oni,Americas,6,2,0.299033159511551
iod,Antarctica,6,2,0.321381063867571
npgo,Asia,6,2,0.341710068496679
npo,Europe,6,2,0.274971028667348
oni,Oceania,6,3,0.25235069417327
nao,Africa,6,3,0.329841895045598
pdo,Americas,6,3,0.241665822824889
iod,Antarctica,6,3,0.261409145366495
npgo,Asia,6,3,0.241057026746024
oni,Europe,7,1,0.29961717669093
nao,Oceania,7,1,0.287016094239193
pdo,Africa,7,1,0.313801050402415
npo,Americas,7,1,0.351073902161447
oni,Antarctica,7,2,0.340712165330895
pdo,Asia,7,2,0.273666885916563
iod,Europe,7,2,0.295282175423174
npo,Oceania,7,2,0.369971751061179
oni,Africa,8,1,cor04
pdo,Americas,8,1,0.3662931279178
iod,Antarctica,8,1,0.314449621259025
npo,Asia,8,1,0.300014873455931
oni,Europe,8,2,0.245721150291991
nao,Oceania,8,2,0.314079849677179
pdo,Africa,8,2,cor04
npgo,Americas,8,2,0.339776875993685
oni,Antarctica,8,3,0.313473875194048
nao,Asia,8,3,0.247562111927733
oni,Europe,9,1,cor04
pdo,Oceania,9,1,0.254707430844315
iod,Africa,9,1,0.300361462170136
npgo,Americas,9,1,0.272927556648417
oni,Antarctica,9,2,0.316296359565692
npgo,Asia,9,2,0.288100736688561
npo,Europe,9,2,0.276459524759183
iod,Oceania,9,3,0.262992544802088
npgo,Africa,9,3,0.398971780793478
oni,Americas,10,1,0.34466958413797
nao,Antarctica,10,1,0.258315538050517
pdo,Asia,10,1,0.29343424197691
npgo,Europe,10,1,0.27267983945406
npo,Oceania,10,1,0.273666152112027
oni,Africa,10,2,0.287090664319152
nao,Americas,10,2,cor04
iod,Antarctica,10,2,0.245072955320582
npgo,Asia,10,2,0.23361142171319
nao,Europe,10,3,0.269321107757611
pdo,Oceania,10,3,0.294048256137095
oni,Africa,11,1,0.234283145574298
nao,Americas,11,1,0.250004065344582
iod,Antarctica,11,1,0.254760312026061
npgo,Asia,11,1,0.249060890190114
npo,Europe,11,1,0.348734320665705
oni,Oceania,11,2,0.387100378867772
nao,Africa,11,2,0.327420453622268
pdo,Americas,11,2,0.380027850351048
nao,Antarctica,11,3,0.235180646401552
iod,Asia,11,3,0.274534031288689
npo,Europe,11,3,0.283563291330065
oni,Oceania,12,1,0.312467016187959
nao,Africa,12,1,0.354656302542614
pdo,Americas,12,1,0.388687569775847
npgo,Antarctica,12,1,0.34406291201873
nao,Asia,12,2,0.250981989624442
pdo,Europe,12,2,0.265480202244001
npgo,Oceania,12,2,0.232744059987816
npo,Africa,12,2,0.307312672669003
oni,Americas,13,1,0.262711273480505
npgo,Antarctica,13,1,0.244642116899395
npo,Asia,13,1,0.298319080521954
