pc.Variables,pc.Importance
rsds,7.65980533306096
tasmin,6.57088527160038
tasmax,6.25971244391891
tas,6.07844454477435
rlds,5.19059077105244
pr,3.25788670920564
PC1,1.44710493375118
ps,1.43131217783248
sfcwind,0.0940202600067585
PC2,-1.34734202965877
hurs,-1.49199143543641
