PC1,PC2,PC3
-10.009483323325,27.6495839738237,-1.57745358214299
-10.1285721267535,-17.9412230193898,4.5158971634365
-7.50275588610014,-1.6358914487849,2.22578335220381
16.4226786023763,7.33527737523271,1.4008106033587
2.84451883726392,6.18454968349598,3.63573253104098
12.8865087023184,-3.40856824447217,-7.18436693573428
14.7499798616636,-17.1020286629287,-7.01623625727485
-1.73876344705348,7.64700101793204,-9.04595185864077
-35.9481600418831,-2.34932051599871,-5.98646265658765
34.5199853923751,-4.32371945790794,-7.00042586294335
-18.2773176023141,-9.55012026433103,-4.04760232364417
2.7235268675558,-4.63364547060158,9.93777113378638
-19.5273515797965,9.15098120816062,-1.18296909440589
-1.87267518435673,3.82124573566379,5.88592305113592
-2.08379421038139,20.0952007168967,2.06979469916421
17.9842451919811,-8.25938965282305,-4.50378055923485
-8.65943437185039,-2.95116806138345,1.5409489349996
48.651948520327,6.58851416719565,2.82948505261907
-1.48373930133518,-4.18169557973996,10.9373876528574
20.1455665722826,-3.7831224206679,-9.0717968959338
10.4229805992931,-5.45718835246443,9.53552549565721
31.3508715090017,-1.46875997729988,1.74913574184746
1.06697886061093,4.13926599120944,-1.80600043640167
21.6905361416201,-15.9551966470124,2.99196931363269
-17.566071283348,-11.7395919702814,3.76179251297997
37.3687865718849,-9.56394245311208,-2.2982265986653
-23.1338774512633,13.2299890064662,6.9249142546781
-23.6016550760998,-1.88283404679581,3.43767055199885
-0.28006810424312,-0.638922450212037,-9.14727989896767
-15.186650571095,14.3102280719103,-11.625943603493
23.6515124759134,-6.41129653054252,-2.16421605842538
-14.9159831655942,-4.32402349093646,-3.02122464500025
-17.3187160946957,-1.61770917555778,-3.85249037718945
3.00549054609028,-23.7730640609159,-14.9779485935571
14.8726417859766,18.9559804392923,-20.5651382628438
-2.42961000734899,10.3347443274719,6.80860763505735
31.3297538842514,12.4035105857708,8.58330713254906
-34.8716636749771,4.71204777782578,-6.11842129728976
9.59198492360888,-17.1600229817312,4.24101096041092
-52.7595221502931,-2.5868338877821,6.52863832225587
23.596787847898,14.7554799168385,9.41853951010437
17.1827488639543,4.98009282040341,8.32427300793194
-3.24294219145109,11.1310986858151,2.06166689001392
-4.71211902385674,2.38783265164482,2.18788255459326
-5.80265060550713,2.21892686537274,-4.21078873057747
-14.876512652806,-18.3467589252992,2.7497285810111
-27.8350173270655,-1.08512354555628,0.989117126616474
6.12514174409711,-2.39760742506533,4.93153780689011
-8.64301075447031,-27.8994223634492,7.47153603384112
-8.68775685127021,-1.82428819052075,-11.2127613248837
-10.2647760083731,4.33752094755939,4.91862875860927
30.3941173237182,10.0602790445308,-2.19636008771432
24.1217341259267,4.74942274716011,12.8687783077379
-13.3146576904519,6.47567122843795,-2.41554922577292
-64.5010468173474,2.43849698937298,0.910828211920019
18.7403363058933,10.0633234540558,3.15375908722045
-17.889451039315,3.83530916687473,-7.52324986283764
-14.7818920429052,-1.69282377774685,2.07379515814815
-8.15040257743695,-6.92889449612561,7.78353276241003
4.13915922168997,4.0018926926967,-0.160835255783347
-17.476156074002,-32.195387374082,0.716352210077136
35.0779715428438,11.4557924708781,3.91726223583744
9.78760703370263,-4.86708131912834,-8.28002658905812
-1.57627827561288,0.740021376211276,-13.5353993707121
0.31307920844493,-5.0027731448225,7.17644129525727
-8.03413856462889,10.1976141844243,6.39673044250807
-30.1286901364824,14.4419526829373,-3.12796417442158
-32.6989925671366,13.486787728746,5.60729363138276
7.67163317760677,-5.55823937955791,-3.06049333703764
23.328323864492,0.381450020113514,-4.19380612619091
31.5188369139404,2.85992138827243,-2.81646515689166
24.6343828336238,-11.0593283756669,1.7278453324766
