index,region,cluster,pc,cor
oni,Africa,1,1,0.23328130336345
npo,Americas,1,1,0.339571489332472
oni,Antarctica,1,2,0.308626256424418
pdo,Asia,1,2,0.290168925717655
npgo,Europe,1,2,0.297903862194043
nao,Oceania,1,3,0.27905689582341
nao,Africa,2,1,0.305694150510895
pdo,Americas,2,1,0.246727358876215
iod,Antarctica,2,1,0.316919714437722
oni,Asia,2,2,0.298473496098322
pdo,Europe,2,2,cor04
nao,Oceania,2,3,0.333605916803406
npgo,Africa,2,3,0.324341989017401
npo,Americas,2,3,0.247814407567059
oni,Antarctica,3,1,0.352127710184017
pdo,Asia,3,1,0.283250211827401
oni,Europe,3,2,0.364213948953433
iod,Oceania,3,2,0.383839318069925
npo,Africa,3,2,0.251742208168318
oni,Americas,3,3,cor04
nao,Antarctica,3,3,0.351352335475513
pdo,Asia,3,3,cor04
npgo,Europe,3,3,cor04
oni,Oceania,4,1,0.267357544062391
pdo,Africa,4,1,0.267984603847193
oni,Americas,4,2,0.301280252208365
nao,Antarctica,4,2,0.264429811956684
pdo,Asia,4,2,0.373817352222829
npgo,Europe,4,2,0.252017752892787
oni,Oceania,4,3,0.233435406220117
pdo,Africa,4,3,0.238195153232994
oni,Americas,5,1,0.355644545037486
pdo,Antarctica,5,1,0.243417203972347
iod,Asia,5,1,0.241483427173073
npgo,Europe,5,1,0.294349119684356
iod,Oceania,5,2,0.248306393107372
oni,Africa,5,3,0.335462366212321
pdo,Americas,5,3,0.266763074845925
iod,Antarctica,5,3,0.253721127261355
npgo,Asia,5,3,0.381402716809609
oni,Europe,6,1,0.298439444262158
nao,Oceania,6,1,0.270222801519063
pdo,Africa,6,1,0.2500240554203
npgo,Americas,6,1,0.243689297442487
npo,Antarctica,6,1,0.359916964420895
oni,Asia,6,2,0.241624282078975
iod,Europe,6,2,0.30750147156783
npgo,Oceania,6,2,0.272833040215492
oni,Africa,6,3,0.27151841921213
iod,Americas,6,3,0.263298973608877
oni,Antarctica,7,1,cor04
pdo,Asia,7,1,cor04
iod,Europe,7,1,0.298743328945677
npgo,Oceania,7,1,0.243177257981797
npo,Africa,7,1,0.312802555333744
oni,Americas,7,2,0.234125640291925
nao,Antarctica,7,2,0.239487723861555
iod,Asia,7,2,0.260846822330485
npgo,Europe,7,2,0.241152225226336
oni,Oceania,7,3,0.346275064625852
pdo,Africa,7,3,cor04
npgo,Americas,7,3,0.35372391207865
npo,Antarctica,7,3,0.294686711386046
oni,Asia,8,1,0.34716489964753
nao,Europe,8,1,cor04
pdo,Oceania,8,1,0.351816128980847
npgo,Africa,8,1,0.28979161553207
oni,Americas,8,2,0.270502811345694
nao,Antarctica,8,2,0.327848174771727
iod,Asia,8,2,0.253272968082284
npo,Europe,8,2,0.260119011005537
oni,Oceania,8,3,0.242976883381171
nao,Africa,8,3,0.26374513320799
pdo,Americas,8,3,0.294727198304395
iod,Antarctica,8,3,0.239760339259503
npgo,Asia,8,3,0.327706376763808
npo,Europe,8,3,0.286877538071206
oni,Oceania,9,1,0.24758087425133
nao,Africa,9,1,0.317216202268268
iod,Americas,9,1,0.239797233347169
npgo,Antarctica,9,1,0.358560151859485
npo,Asia,9,1,0.346423508910061
npo,Europe,9,2,0.242920069113495
oni,Oceania,9,3,0.286769661527298
pdo,Africa,9,3,0.252459864477816
iod,Americas,9,3,0.286153525538412
npgo,Antarctica,9,3,0.278144150744779
iod,Asia,10,1,0.272281465888268
nao,Europe,10,2,0.259977459463309
oni,Oceania,10,3,0.359256520370207
nao,Africa,10,3,0.314453327375187
npgo,Americas,10,3,0.277251906647578
npo,Antarctica,10,3,0.391261612788231
oni,Asia,11,1,0.329725663880277
nao,Europe,11,1,0.389868421520933
pdo,Oceania,11,1,0.30416005412112
npo,Africa,11,1,0.324107029582571
oni,Americas,11,2,0.292706645774854
pdo,Antarctica,11,2,0.369887222553926
iod,Asia,11,2,0.272715979612653
npgo,Europe,11,2,0.246634452136754
oni,Oceania,12,1,cor04
nao,Africa,12,1,0.330798193811361
pdo,Americas,12,1,0.31781705768452
npgo,Antarctica,12,1,0.253477921576389
npo,Asia,12,1,0.357649608888269
oni,Europe,12,2,cor04
nao,Oceania,12,2,0.244729593079617
pdo,Africa,12,2,cor04
iod,Americas,12,2,0.312644546791482
npgo,Antarctica,12,2,0.362231960440202
npo,Asia,12,2,0.378457788882973
oni,Europe,12,3,0.276980797878824
nao,Oceania,12,3,0.327902764130574
iod,Africa,12,3,0.322680411912491
oni,Americas,13,1,0.341888875038247
nao,Antarctica,13,1,cor04
pdo,Asia,13,1,0.291656234061933
iod,Europe,13,1,0.274985617988198
npgo,Oceania,13,1,cor04
nao,Africa,13,2,0.361690720511269
npgo,Americas,13,2,0.302913582750333
npo,Antarctica,13,2,0.283236997745732
iod,Asia,13,3,0.23589800030975
oni,Europe,14,1,0.364600085660732
npgo,Oceania,14,1,0.338215853455418
npo,Africa,14,1,0.263488047603082
oni,Americas,14,3,0.265541914566358
iod,Antarctica,14,3,0.354050818777561
npgo,Asia,14,3,0.358873719083577
oni,Europe,15,1,0.318342114562082
nao,Oceania,15,2,0.244839160052036
oni,Africa,15,3,0.234330038864678
nao,Americas,15,3,0.354088833837984
oni,Antarctica,16,1,0.328934467226333
nao,Asia,16,1,0.324614139629812
npgo,Europe,16,3,0.266682579352776
oni,Oceania,17,1,cor04
pdo,Africa,17,1,0.31369708305771
iod,Americas,17,1,0.268322955056423
npo,Antarctica,17,1,0.270392410027972
iod,Asia,17,2,0.244328809469327
oni,Europe,17,3,0.30502796063621
pdo,Oceania,17,3,0.286581561624231
iod,Africa,17,3,0.281909559316374
npgo,Americas,17,3,cor04
oni,Antarctica,18,1,0.274598142644201
nao,Asia,18,1,0.32560424765082
pdo,Europe,18,1,0.360902290910062
npo,Oceania,18,1,0.313783553924609
oni,Africa,18,2,0.275250258686595
nao,Americas,18,2,0.391108840278217
oni,Antarctica,18,3,0.295775450609716
iod,Asia,18,3,0.236058732860442
oni,Europe,19,1,0.297973481201601
nao,Oceania,19,1,0.27759622510232
pdo,Africa,19,1,0.258931834665648
npgo,Americas,19,1,0.299753929530608
oni,Antarctica,19,2,0.257234006321177
nao,Asia,19,2,0.240624709350161
pdo,Europe,19,2,0.265699381084769
oni,Oceania,19,3,0.272310040447603
iod,Africa,19,3,0.332670218869804
npo,Americas,19,3,0.268438418969098
pdo,Antarctica,20,1,0.286887481318714
iod,Asia,20,1,0.27513654420986
oni,Europe,20,2,0.23324175787013
nao,Oceania,20,2,0.290936157969561
nao,Africa,20,3,0.245962341927697
npgo,Americas,20,3,0.279681784372277
oni,Antarctica,21,1,0.275347907773948
nao,Asia,21,1,0.27896018570683
nao,Europe,21,2,0.28050362371527
npgo,Oceania,21,3,0.237452232738414
npo,Africa,21,3,0.233679924423446
nao,Americas,22,1,0.314072409690726
iod,Antarctica,22,1,0.256721501039738
npgo,Asia,22,1,0.234989092505666
oni,Europe,22,2,0.293852141220768
pdo,Oceania,22,2,0.275479472790718
npgo,Africa,22,2,0.237095496608764
npo,Americas,22,2,cor04
oni,Antarctica,22,3,0.331693655526361
nao,Asia,22,3,0.300685268530851
npgo,Europe,22,3,0.309101557161638
oni,Oceania,23,2,0.371676282547652
oni,Africa,23,3,0.232431816481316
pdo,Americas,23,3,0.292787948699294
iod,Antarctica,23,3,0.23977976036455
oni,Asia,24,1,0.235124982154983
iod,Europe,24,1,0.255418749116976
oni,Oceania,24,2,0.26843924745642
nao,Africa,24,2,0.236575139420334
iod,Americas,24,2,0.344996195282375
npo,Antarctica,24,2,0.248335847036866
oni,Asia,24,3,0.392354250300402
pdo,Europe,24,3,cor04
npgo,Oceania,24,3,0.327983857289487
npo,Africa,24,3,0.309638140362771
oni,Americas,1,1,0.23328130336345
npo,Antarctica,1,1,0.339571489332472
oni,Asia,1,2,0.308626256424418
pdo,Europe,1,2,0.290168925717655
npgo,Oceania,1,2,0.297903862194043
nao,Africa,1,3,0.27905689582341
nao,Americas,2,1,0.305694150510895
pdo,Antarctica,2,1,0.246727358876215
iod,Asia,2,1,0.316919714437722
oni,Europe,2,2,0.298473496098322
pdo,Oceania,2,2,cor04
nao,Africa,2,3,0.333605916803406
npgo,Americas,2,3,0.324341989017401
npo,Antarctica,2,3,0.247814407567059
oni,Asia,3,1,0.352127710184017
pdo,Europe,3,1,0.283250211827401
oni,Oceania,3,2,0.364213948953433
iod,Africa,3,2,0.383839318069925
npo,Americas,3,2,0.251742208168318
oni,Antarctica,3,3,cor04
nao,Asia,3,3,0.351352335475513
pdo,Europe,3,3,cor04
npgo,Oceania,3,3,cor04
oni,Africa,4,1,0.267357544062391
pdo,Americas,4,1,0.267984603847193
oni,Antarctica,4,2,0.301280252208365
nao,Asia,4,2,0.264429811956684
pdo,Europe,4,2,0.373817352222829
npgo,Oceania,4,2,0.252017752892787
oni,Africa,4,3,0.233435406220117
pdo,Americas,4,3,0.238195153232994
oni,Antarctica,5,1,0.355644545037486
pdo,Asia,5,1,0.243417203972347
iod,Europe,5,1,0.241483427173073
npgo,Oceania,5,1,0.294349119684356
iod,Africa,5,2,0.248306393107372
oni,Americas,5,3,0.335462366212321
pdo,Antarctica,5,3,0.266763074845925
iod,Asia,5,3,0.253721127261355
npgo,Europe,5,3,0.381402716809609
oni,Oceania,6,1,0.298439444262158
nao,Africa,6,1,0.270222801519063
pdo,Americas,6,1,0.2500240554203
npgo,Antarctica,6,1,0.243689297442487
npo,Asia,6,1,0.359916964420895
oni,Europe,6,2,0.241624282078975
iod,Oceania,6,2,0.30750147156783
npgo,Africa,6,2,0.272833040215492
oni,Americas,6,3,0.27151841921213
iod,Antarctica,6,3,0.263298973608877
oni,Asia,7,1,cor04
pdo,Europe,7,1,cor04
iod,Oceania,7,1,0.298743328945677
npgo,Africa,7,1,0.243177257981797
npo,Americas,7,1,0.312802555333744
oni,Antarctica,7,2,0.234125640291925
nao,Asia,7,2,0.239487723861555
iod,Europe,7,2,0.260846822330485
npgo,Oceania,7,2,0.241152225226336
oni,Africa,7,3,0.346275064625852
pdo,Americas,7,3,cor04
npgo,Antarctica,7,3,0.35372391207865
npo,Asia,7,3,0.294686711386046
oni,Europe,8,1,0.34716489964753
nao,Oceania,8,1,cor04
pdo,Africa,8,1,0.351816128980847
npgo,Americas,8,1,0.28979161553207
oni,Antarctica,8,2,0.270502811345694
nao,Asia,8,2,0.327848174771727
iod,Europe,8,2,0.253272968082284
npo,Oceania,8,2,0.260119011005537
oni,Africa,8,3,0.242976883381171
nao,Americas,8,3,0.26374513320799
pdo,Antarctica,8,3,0.294727198304395
iod,Asia,8,3,0.239760339259503
npgo,Europe,8,3,0.327706376763808
npo,Oceania,8,3,0.286877538071206
oni,Africa,9,1,0.24758087425133
nao,Americas,9,1,0.317216202268268
iod,Antarctica,9,1,0.239797233347169
npgo,Asia,9,1,0.358560151859485
npo,Europe,9,1,0.346423508910061
npo,Oceania,9,2,0.242920069113495
oni,Africa,9,3,0.286769661527298
pdo,Americas,9,3,0.252459864477816
iod,Antarctica,9,3,0.286153525538412
npgo,Asia,9,3,0.278144150744779
iod,Europe,10,1,0.272281465888268
nao,Oceania,10,2,0.259977459463309
oni,Africa,10,3,0.359256520370207
nao,Americas,10,3,0.314453327375187
npgo,Antarctica,10,3,0.277251906647578
npo,Asia,10,3,0.391261612788231
oni,Europe,11,1,0.329725663880277
nao,Oceania,11,1,0.389868421520933
pdo,Africa,11,1,0.30416005412112
npo,Americas,11,1,0.324107029582571
oni,Antarctica,11,2,0.292706645774854
pdo,Asia,11,2,0.369887222553926
iod,Europe,11,2,0.272715979612653
npgo,Oceania,11,2,0.246634452136754
oni,Africa,12,1,cor04
nao,Americas,12,1,0.330798193811361
pdo,Antarctica,12,1,0.31781705768452
npgo,Asia,12,1,0.253477921576389
npo,Europe,12,1,0.357649608888269
oni,Oceania,12,2,cor04
nao,Africa,12,2,0.244729593079617
pdo,Americas,12,2,cor04
iod,Antarctica,12,2,0.312644546791482
npgo,Asia,12,2,0.362231960440202
npo,Europe,12,2,0.378457788882973
oni,Oceania,12,3,0.276980797878824
nao,Africa,12,3,0.327902764130574
iod,Americas,12,3,0.322680411912491
oni,Antarctica,13,1,0.341888875038247
nao,Asia,13,1,cor04
pdo,Europe,13,1,0.291656234061933
iod,Oceania,13,1,0.274985617988198
npgo,Africa,13,1,cor04
nao,Americas,13,2,0.361690720511269
npgo,Antarctica,13,2,0.302913582750333
npo,Asia,13,2,0.283236997745732
iod,Europe,13,3,0.23589800030975
oni,Oceania,14,1,0.364600085660732
npgo,Africa,14,1,0.338215853455418
npo,Americas,14,1,0.263488047603082
oni,Antarctica,14,3,0.265541914566358
iod,Asia,14,3,0.354050818777561
npgo,Europe,14,3,0.358873719083577
oni,Oceania,15,1,0.318342114562082
nao,Africa,15,2,0.244839160052036
oni,Americas,15,3,0.234330038864678
nao,Antarctica,15,3,0.354088833837984
oni,Asia,16,1,0.328934467226333
nao,Europe,16,1,0.324614139629812
npgo,Oceania,16,3,0.266682579352776
oni,Africa,17,1,cor04
pdo,Americas,17,1,0.31369708305771
iod,Antarctica,17,1,0.268322955056423
npo,Asia,17,1,0.270392410027972
iod,Europe,17,2,0.244328809469327
oni,Oceania,17,3,0.30502796063621
pdo,Africa,17,3,0.286581561624231
iod,Americas,17,3,0.281909559316374
npgo,Antarctica,17,3,cor04
oni,Asia,18,1,0.274598142644201
nao,Europe,18,1,0.32560424765082
pdo,Oceania,18,1,0.360902290910062
npo,Africa,18,1,0.313783553924609
oni,Americas,18,2,0.275250258686595
nao,Antarctica,18,2,0.391108840278217
oni,Asia,18,3,0.295775450609716
iod,Europe,18,3,0.236058732860442
oni,Oceania,19,1,0.297973481201601
nao,Africa,19,1,0.27759622510232
pdo,Americas,19,1,0.258931834665648
npgo,Antarctica,19,1,0.299753929530608
oni,Asia,19,2,0.257234006321177
nao,Europe,19,2,0.240624709350161
pdo,Oceania,19,2,0.265699381084769
oni,Africa,19,3,0.272310040447603
iod,Americas,19,3,0.332670218869804
npo,Antarctica,19,3,0.268438418969098
pdo,Asia,20,1,0.286887481318714
iod,Europe,20,1,0.27513654420986
oni,Oceania,20,2,0.23324175787013
nao,Africa,20,2,0.290936157969561
nao,Americas,20,3,0.245962341927697
npgo,Antarctica,20,3,0.279681784372277
oni,Asia,21,1,0.275347907773948
nao,Europe,21,1,0.27896018570683
nao,Oceania,21,2,0.28050362371527
npgo,Africa,21,3,0.237452232738414
npo,Americas,21,3,0.233679924423446
nao,Antarctica,22,1,0.314072409690726
iod,Asia,22,1,0.256721501039738
npgo,Europe,22,1,0.234989092505666
oni,Oceania,22,2,0.293852141220768
pdo,Africa,22,2,0.275479472790718
npgo,Americas,22,2,0.237095496608764
npo,Antarctica,22,2,cor04
oni,Asia,22,3,0.331693655526361
nao,Europe,22,3,0.300685268530851
npgo,Oceania,22,3,0.309101557161638
oni,Africa,23,2,0.371676282547652
oni,Americas,23,3,0.232431816481316
pdo,Antarctica,23,3,0.292787948699294
iod,Asia,23,3,0.23977976036455
oni,Europe,24,1,0.235124982154983
iod,Oceania,24,1,0.255418749116976
oni,Africa,24,2,0.26843924745642
nao,Americas,24,2,0.236575139420334
iod,Antarctica,24,2,0.344996195282375
npo,Asia,24,2,0.248335847036866
oni,Europe,24,3,0.392354250300402
pdo,Oceania,24,3,cor04
npgo,Africa,24,3,0.327983857289487
npo,Americas,24,3,0.309638140362771
oni,Antarctica,1,1,0.23328130336345
npo,Asia,1,1,0.339571489332472
oni,Europe,1,2,0.308626256424418
pdo,Oceania,1,2,0.290168925717655
npgo,Africa,1,2,0.297903862194043
nao,Americas,1,3,0.27905689582341
nao,Antarctica,2,1,0.305694150510895
pdo,Asia,2,1,0.246727358876215
iod,Europe,2,1,0.316919714437722
oni,Oceania,2,2,0.298473496098322
pdo,Africa,2,2,cor04
nao,Americas,2,3,0.333605916803406
npgo,Antarctica,2,3,0.324341989017401
npo,Asia,2,3,0.247814407567059
oni,Europe,3,1,0.352127710184017
pdo,Oceania,3,1,0.283250211827401
oni,Africa,3,2,0.364213948953433
iod,Americas,3,2,0.383839318069925
npo,Antarctica,3,2,0.251742208168318
oni,Asia,3,3,cor04
nao,Europe,3,3,0.351352335475513
pdo,Oceania,3,3,cor04
npgo,Africa,3,3,cor04
oni,Americas,4,1,0.267357544062391
pdo,Antarctica,4,1,0.267984603847193
oni,Asia,4,2,0.301280252208365
nao,Europe,4,2,0.264429811956684
pdo,Oceania,4,2,0.373817352222829
npgo,Africa,4,2,0.252017752892787
oni,Americas,4,3,0.233435406220117
pdo,Antarctica,4,3,0.238195153232994
oni,Asia,5,1,0.355644545037486
pdo,Europe,5,1,0.243417203972347
iod,Oceania,5,1,0.241483427173073
npgo,Africa,5,1,0.294349119684356
iod,Americas,5,2,0.248306393107372
oni,Antarctica,5,3,0.335462366212321
pdo,Asia,5,3,0.266763074845925
iod,Europe,5,3,0.253721127261355
