pc.Variables,pc.Importance
ps,12.8031113545049
tasmax,8.44764162133385
tas,5.32232098114037
hurs,5.31300457714666
tasmin,5.25364584022701
rlds,3.71378180896305
rsds,3.61168690227858
pr,-0.726402613757616
PC1,-3.5345615933748
PC3,-3.65380359193076
sfcwind,-4.82152498682983
